Estação,Início,Fim,Anos,Status,Falhas (%),Registros (H),Ausentes,Moderado (mm),Alto (mm),Muito Alto (mm),Altíssimo (mm)
A801_PORTO ALEGRE,2008-01-05T00:00:00Z,2021-12-31T00:00:00Z,14,Robusta,0,122736,0,22.08,45.19,73.04,111.39
A802_RIO GRANDE,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,15.81,38.15,65.65,104.11
A803_SANTA MARIA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,23.4,54.04,91.58,143.91
A804_SANTANA DO LIVRAMENTO,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,23.07,51.72,86.71,135.36
A805_SANTO AUGUSTO,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,29.84,59.21,94.39,142.66
A808_TORRES,2008-01-05T00:00:00Z,2023-12-31T00:00:00Z,16,Robusta,0,140256,0,19.84,46.19,78.51,123.58
A809_URUGUAIANA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,20.95,49.09,83.62,131.8
A810_SANTA ROSA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,23.43,53.12,89.42,139.94
A811_CANGUCU,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,20.43,44.51,73.8,114.42
A812_CACAPAVA DO SUL,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,24.26,53.15,88.32,137.12
A813_RIO PARDO,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,21.47,48.45,81.4,127.25
A826_ALEGRETE,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,24.92,53.85,88.99,137.69
A827_BAGE,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,19.65,44.17,74.12,115.77
A828_ERECHIM,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,26.11,50.93,80.57,121.14
A829_SAO JOSE DOS AUSENTES,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,19.27,39.78,64.53,98.64
A830_SAO BORJA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,22.41,50.73,85.36,133.54
A831_QUARAI,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,18.22,47.16,83,133.34
A832_SAO GABRIEL,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,22.96,50.28,83.55,129.69
A833_SANTIAGO,2009-02-08T00:00:00Z,2026-04-30T00:00:00Z,17.2,Robusta,0,151080,0,26.43,55.54,90.77,139.42
A834_TRAMANDAI,2008-03-13T00:00:00Z,2026-04-30T00:00:00Z,18.1,Robusta,0,159048,0,18.55,43.36,73.81,116.29
A836_JAGUARAO,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,17.44,41.25,70.5,111.35
A837_SOLEDADE,2008-03-05T00:00:00Z,2026-04-30T00:00:00Z,18.2,Robusta,0,159240,0,25.84,55.16,90.71,139.9
A838_CAMAQUA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,17.11,42.37,73.53,117.2
A839_PASSO FUNDO,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,26.77,52.65,83.6,126.02
A840_BENTO GONCALVES,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,24.38,51.1,83.4,128.01
A844_LAGOA VERMELHA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,25.68,49.83,78.64,118.04
A852_SAO LUIZ GONZAGA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,30.74,60.3,95.64,144.06
A853_CRUZ ALTA,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,27.46,55.2,88.51,134.3
A854_FREDERICO WESTPHALEN,2008-01-05T00:00:00Z,2026-04-30T00:00:00Z,18.3,Robusta,0,160680,0,29.68,58.23,92.37,139.14
A856_PALMEIRA DAS MISSOES,2008-03-01T00:00:00Z,2026-04-30T00:00:00Z,18.2,Robusta,0,159336,0,26.59,53.44,85.68,129.97
A878_MOSTARDAS,2008-03-15T00:00:00Z,2025-12-31T00:00:00Z,17.8,Robusta,0,156120,0,14.69,35.23,60.5,95.83
A879_CANELA,2008-08-27T00:00:00Z,2026-04-30T00:00:00Z,17.7,Robusta,0,155040,0,29.77,58.05,91.8,137.99
A880_VACARIA,2008-04-30T00:00:00Z,2026-04-30T00:00:00Z,18,Robusta,0,157896,0,25.74,50.86,80.94,122.19
A881_DOM PEDRITO,2010-04-27T00:00:00Z,2026-04-30T00:00:00Z,16,Robusta,0,140448,0,20.32,45.01,75.11,116.91
A882_TEUTONIA,2012-10-08T00:00:00Z,2026-04-30T00:00:00Z,13.6,Robusta,0,118968,0,23.92,51.05,83.95,129.47
A883_IBIRUBA,2012-12-17T00:00:00Z,2026-04-30T00:00:00Z,13.4,Robusta,0,117288,0,26.55,54.44,88.05,134.35
A884_CAMPO BOM,2013-12-03T00:00:00Z,2026-04-30T00:00:00Z,12.4,Robusta,0,108864,0,23.52,50.71,83.73,129.48
A886_TUPANCIRETA,2016-08-15T00:00:00Z,2026-04-30T00:00:00Z,9.7,Robusta,0,85200,0,28.98,57.94,92.68,140.39
A889_SAO VICENTE DO SUL,2016-04-10T00:00:00Z,2026-04-30T00:00:00Z,10.1,Robusta,0,88248,0,25.7,57.8,97.02,151.55
A893_ENCRUZILHADA DO SUL,2018-03-19T00:00:00Z,2026-04-30T00:00:00Z,8.1,Robusta,0,71256,0,22.31,49.76,83.26,129.81
A894_SERAFINA CORREA,2016-04-05T00:00:00Z,2026-04-30T00:00:00Z,10.1,Robusta,0,88368,0,23.94,55.71,94.66,148.99
A897_CAMBARA DO SUL,2016-11-28T00:00:00Z,2026-04-30T00:00:00Z,9.4,Robusta,0,82680,0,20.19,46.32,78.32,122.9
A899_Santa Vitoria do Palmar - Barra do Chui,2008-03-12T00:00:00Z,2025-12-31T00:00:00Z,17.8,Robusta,0,156192,0,14.07,36.7,64.75,104.15
